Title,maybe geolocated,type,By,Latitude,Longitude,Well #,County,Reference URL,CONTENTdm number
Part 3,y,oberservation well data sheet,Kevin,40.5754586,-104.7441634,"B7-66-14dcc,B7-66-14bcc",Weld,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/977,977
Part 3,y,,kevin,40.9834254,-102.2968618,"B12-44-31ba1,B12-44-27bc1",Julesburg,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1206,1206
South Platte - binder 3 (folder 2 of 2) - Page 2,y,oberservation well data sheet,Lilly,40.369599,-103.4585094,B5-54-30cb1,Washington,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1551,1551
South Platte - binder 3 (folder 2 of 2) - Page 3,y,oberservation well data sheet,kevin,40.3824393,-103.4170532,B5-54-21ca1,Washington,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1552,1552
South Platte - binder 3 (folder 2 of 2) - Page 4,y,oberservation well data sheet,kevin,40.4585236,-103.3488661,B6-53-30bc1,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1553,1553
South Platte - binder 3 (folder 2 of 2) - Page 5,y,oberservation well data sheet,kevin,40.4819442,-103.2995671,B5-54-21ca1,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1554,1554
South Platte - binder 3 (folder 2 of 2) - Page 6,y,oberservation well data sheet,kevin,40.4731017,-103.2502842,B6-53-24bc1,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1555,1555
South Platte - binder 3 (folder 2 of 2) - Page 7,y,oberservation well data sheet,Lucas,40.4460979,-103.3850813,B6-54-35bdc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1556,1556
South Platte - binder 3 (folder 2 of 2) - Page 8,y,oberservation well data sheet,Lucas,40.4678128,-103.3853388,B6-54-23ccd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1557,1557
South Platte - binder 3 (folder 2 of 2) - Page 9,y,oberservation well data sheet,Lucas,40.4922297,-103.3493328,B6-53-18bbb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1558,1558
South Platte - binder 3 (folder 2 of 2) - Page 10,y,oberservation well data sheet,Lucas,40.481426,-103.3260727,B6-53-17cdd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1559,1559
South Platte - binder 3 (folder 2 of 2) - Page 11,y,Observation well,Connor,40.4672578,-103.3175755,B6-53-20ddd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1560,1560
South Platte - binder 3 (folder 2 of 2) - Page 12,y,Observation well,Lucas,40.5107975,-103.3302784,B6-53-5ccd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1561,1561
South Platte - binder 3 (folder 2 of 2) - Page 13,y,Observation well,Connor,40.5261308,-103.3244419,B7-53-32dcc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1562,1562
South Platte - binder 3 (folder 2 of 2) - Page 14,y,observation well data sheet,Lucas,40.5254784,-103.3052158,B7-53-33dcc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1563,1563
South Platte - binder 3 (folder 2 of 2) - Page 15,y,observation well data sheet,Lucas,40.5508851,-103.3418441,B7-53-30abb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1564,1564
South Platte - binder 3 (folder 2 of 2) - Page 16,y,observation well data sheet,Lucas,40.5557435,-103.2868052,B7-53-22bbb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1565,1565
South Platte - binder 3 (folder 2 of 2) - Page 17,y,observation well data sheet,Lucas,40.5653942,-103.294487,B7-53-22dob,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1566,1566
South Platte - binder 3 (folder 2 of 2) - Page 18,y,Observation Well,Connor,40.5403844,-103.2538462,B7-53-25cdc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1567,1567
South Platte - binder 3 (folder 2 of 2) - Page 19,y,Observation Well,Connor,40.5846262,-103.2371521,B7-52-7ccd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1568,1568
South Platte - binder 3 (folder 2 of 2) - Page 20,y,observation well data sheet,Lucas,40.5987044,-103.249383,B7-53-1dcc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1569,1569
South Platte - binder 3 (folder 2 of 2) - Page 21,y,observation well data sheet,Lucas,40.54431,-103.26636,B7-53-26ab,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1570,1570
South Platte - binder 3 (folder 2 of 2) - Page 22,y,observation well data sheet,Lucas,40.5657854,-103.2756042,B7-53-23bb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1571,1571
South Platte - binder 3 (folder 2 of 2) - Page 23,y,observation well data sheet,Lucas,40.6378927,-103.2386541,B8-52-30bbc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1572,1572
South Platte - binder 3 (folder 2 of 2) - Page 24,y,observation well data sheet,Lucas,40.6525132,-103.2468081,B8-53-24aab,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1573,1573
South Platte - binder 3 (folder 2 of 2) - Page 25,y,observation well data sheet,Lucas,40.6816144,-103.2132912,B8-52-8bab,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1574,1574
South Platte - binder 3 (folder 2 of 2) - Page 26,y,observation well data sheet,Lucas,40.6846084,-103.154583,B8-52-2cdd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1575,1575
South Platte - binder 3 (folder 2 of 2) - Page 27,y,observation well data sheet,Lucas,40.6620848,-103.2160378,B8-52-17cb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1576,1576
South Platte - binder 3 (folder 2 of 2) - Page 28,y,observation well data sheet,Lucas,40.6783273,-103.172071,B8-52-10acc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1577,1577
South Platte - binder 3 (folder 2 of 2) - Page 29,y,observation well data sheet,Lucas,40.6997718,-103.1206799,B8-51-6ad,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1578,1578
South Platte - binder 3 (folder 2 of 2) - Page 30,y,observation well data sheet,Lucas,40.7422661,-103.1020331,B9-51-19cba,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1579,1579
South Platte - binder 3 (folder 2 of 2) - Page 31,y,observation well data sheet,Lucas,40.73887,-103.08451,B9-51-20bcc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1580,1580
South Platte - binder 3 (folder 2 of 2) - Page 32,y,observation well data sheet,Lucas,40.7126547,-103.0730438,B9-51-33bb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1581,1581
South Platte - binder 3 (folder 2 of 2) - Page 33,y,observation well data sheet,Lucas,40.8494626,-102.8236198,B10-49-15bbb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1582,1582
South Platte - binder 3 (folder 2 of 2) - Page 34,y,observation well data sheet,Lucas,40.8520596,-102.8628445,B10-49-8cc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1583,1583
South Platte - binder 3 (folder 2 of 2) - Page 35,y,observation well data sheet,Lucas,40.8719229,-102.7504492,B10-48-6acc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1584,1584
South Platte - binder 3 (folder 2 of 2) - Page 37,y,observation well data sheet,Lucas,40.8708844,-102.8023767,B10-49-2cb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1586,1586
South Platte - binder 3 (folder 2 of 2) - Page 38,y,observation well data sheet,Lucas,40.8713387,-102.7173615,B10-48-4bc,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1587,1587
South Platte - binder 3 (folder 2 of 2) - Page 39,y,observation well data sheet,Lucas,40.8845128,-102.6509285,B11-47-31cbb,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1588,1588
South Platte - binder 3 (folder 2 of 2) - Page 40,y,observation well data sheet,Lucas,40.9068314,-102.6100731,B11-47-28bb,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1589,1589
South Platte - binder 3 (folder 2 of 2) - Page 41,y,observation well data sheet,Lucas,40.9633728,-102.4694824,B11-46-3acc,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1590,1590
South Platte - binder 3 (folder 2 of 2) - Page 42,y,observation well data sheet,Lucas,40.9673587,-102.4378538,B11-46-1bbb,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1591,1591
South Platte - binder 3 (folder 2 of 2) - Page 43,y,observation well data sheet,Lucas,40.9780189,-102.3995304,B12-45-32cbb,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1592,1592
South Platte - binder 3 (folder 2 of 2) - Page 44,y,observation well data sheet,Lucas,41.0041115,-102.3953676,B12-45-20caa,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1593,1593
South Platte - binder 3 (folder 2 of 2) - Page 45,y,observation well data sheet,Lucas,40.983073,-102.3776436,B12-45-33bab,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1594,1594
South Platte - binder 3 (folder 2 of 2) - Page 46,y,observation well data sheet,Lucas,40.9667754,-102.3757124,B11-45-4baa,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1595,1595
South Platte - binder 3 (folder 2 of 2) - Page 47,y,observation well data sheet,Lucas,40.9678771,-102.3567867,B11-45-3baa,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1596,1596
South Platte - binder 3 (folder 2 of 2) - Page 48,y,observation well data sheet,Lucas,40.9803192,-102.3426676,B12-45-35bbc,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1597,1597
South Platte - binder 3 (folder 2 of 2) - Page 49,y,observation well data sheet,Lucas,40.9679095,-102.3338699,B11-45-2abb,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1598,1598
South Platte - binder 3 (folder 2 of 2) - Page 50,y,observation well data sheet,Lucas,40.997974,-102.2845173,B12-44-29bbb,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1599,1599
South Platte - binder 3 (folder 2 of 2) - Page 51,y,observation well data sheet,Lucas,40.9275213,-102.5238991,B11-46-18db,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1600,1600
South Platte - binder 3 (folder 2 of 2) - Page 52,y,observation well data sheet,Lucas,40.9673911,-102.3930502,B11-45-5ba,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1601,1601
South Platte - binder 3 (folder 2 of 2) - Page 53,y,observation well data sheet,Lucas,40.983397,-102.2967052,B12-44-31ba1,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1602,1602
South Platte - binder 3 (folder 2 of 2) - Page 54,y,observation well data sheet,Lucas,40.9919816,-102.2457218,B12-44-27bc1,Sedgwick,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1603,1603
Morgan #2 (folder 2 of 2) - Page 3,y,well schedule,Lucas,40.126916,-104.0371799,2-59-19cc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2529,2529
Morgan #2 (folder 2 of 2) - Page 4,y,well schedule,Lucas,40.1271129,-104.0161514,2-59-20cdc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2530,2530
Morgan #2 (folder 2 of 2) - Page 5,y,well schedule,Lucas,40.1133297,-104.0213871,2-59-29cc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2531,2531
Morgan #2 (folder 2 of 2) - Page 6,y,well schedule,Lucas,40.1137892,-104.0394115,2-59-30ccc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2532,2532
Morgan #2 (folder 2 of 2) - Page 7,y,well schedule,Lucas,40.1001346,-104.0212154,2-59-32ccc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2533,2533
Morgan #2 (folder 2 of 2) - Page 8,y,well schedule,Lucas,40.1694951,-104.0995145,B2-60-4ddd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2534,2534
Morgan #2 (folder 2 of 2) - Page 9,y,well schedule,Lucas,40.1538837,-104.061985,B2-60-11ddd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2535,2535
Morgan #2 (folder 2 of 2) - Page 10,y,well schedule,Lucas,40.1399091,-104.0438747,B2-60-13ddd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2536,2536
Morgan #2 (folder 2 of 2) - Page 11,y,well schedule,Lucas,40.1399091,-104.0438747,2-60-13,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2537,2537
Morgan #2 (folder 2 of 2) - Page 12,y,observation well data sheet,Lucas,40.1399091,-104.0438747,B2-60-13dd1,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2538,2538
Morgan #2 (folder 2 of 2) - Page 13,y,well schedule,Lucas,40.1145769,-104.0646458,B2-60-26ddd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2539,2539
Morgan #2 (folder 2 of 2) - Page 14,y,well schedule,Lucas,40.1145769,-104.0646458,2-60-26,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2540,2540
Morgan #2 (folder 2 of 2) - Page 15,y,observation well data sheet,Lucas,40.1145769,-104.0646458,B2-60-26dd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2541,2541
Morgan #2 (folder 2 of 2) - Page 16,y,well schedule,Lucas,40.2373597,-103.6940932,3-56-7,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2542,2542
Morgan #2 (folder 2 of 2) - Page 17,y,observation well data sheet,Lucas,40.2373597,-103.6940932,B3-56-7cb1,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2543,2543
Morgan #2 (folder 2 of 2) - Page 18,y,well schedule,Lucas,40.2373597,-103.6940932,B3-56-7cbb,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2544,2544
Morgan #2 (folder 2 of 2) - Page 19,y,well schedule,Lucas,40.2184706,-103.6115456,B3-56-14cdd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2545,2545
Morgan #2 (folder 2 of 2) - Page 20,y,well schedule,Lucas,40.2157834,-103.6000013,3-56-24,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2546,2546
Morgan #2 (folder 2 of 2) - Page 21,y,well schedule,Lucas,40.2485792,-103.7074184,B3-57-1cd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2547,2547
Morgan #2 (folder 2 of 2) - Page 22,y,well schedule,Lucas,40.1798242,-103.7909746,B3-57-32ccc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2548,2548
Morgan #2 (folder 2 of 2) - Page 23,y,well schedule,Lucas,40.2356397,-103.8441467,B3-58-11ccc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2549,2549
Morgan #2 (folder 2 of 2) - Page 24,y,well schedule,Lucas,40.2336412,-103.9552116,B3-59-14bba,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2550,2550
Morgan #2 (folder 2 of 2) - Page 25,y,well schedule,Lucas,40.20995,-104.0329742,B3-59-19ccd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2551,2551
Morgan #2 (folder 2 of 2) - Page 26,y,well schedule,Lucas,40.2521494,-104.051857,B3-60-1ccd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2552,2552
Morgan #2 (folder 2 of 2) - Page 27,y,well schedule,Lucas,40.253001,-104.1008663,3-60-4,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2553,2553
Morgan #2 (folder 2 of 2) - Page 28,y,observation well data sheet,Lucas,40.253001,-104.1008663,B3-60-4dc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2554,2554
Morgan #2 (folder 2 of 2) - Page 29,y,well schedule,Lucas,40.253001,-104.1008663,B3-60-4dcd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2555,2555
Morgan #2 (folder 2 of 2) - Page 30,y,well schedule,Lucas,40.2101466,-104.0931416,B3-60-22ccc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2556,2556
Morgan #2 (folder 2 of 2) - Page 31,y,well schedule,Lucas,40.2101466,-104.0931416,3-60-22,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2557,2557
Morgan #2 (folder 2 of 2) - Page 32,y,observation well data sheet,Lucas,40.2101466,-104.0931416,B3-60-22ccc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2558,2558
Morgan #2 (folder 2 of 2) - Page 33,y,well schedule,Lucas,40.2099827,-104.0535736,B3-60-24ccd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2559,2559
Morgan #2 (folder 2 of 2) - Page 34,y,well schedule,Lucas,40.202936,-104.1180325,B3-60-29add,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2560,2560
Morgan #2 (folder 2 of 2) - Page 35,y,well schedule,Lucas,40.1822177,-104.0449047,3-60-36,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2561,2561
Morgan #2 (folder 2 of 2) - Page 36,y,well schedule,Lucas,40.0607311,-103.5834789,1-55-18,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2562,2562
Morgan #2 (folder 2 of 2) - Page 37,y,observation well data sheet,Lucas,40.0607311,-103.5834789,B1-55-18bc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2563,2563
Morgan #2 (folder 2 of 2) - Page 38,y,well schedule,Lucas,40.0607311,-103.5834789,B1-55-18bcd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2564,2564
Morgan #2 (folder 2 of 2) - Page 39,y,well schedule,Lucas,40.0607311,-103.5834789,1-55-18,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2565,2565
Morgan #2 (folder 2 of 2) - Page 40,y,well schedule,Lucas,40.1872339,-104.1294909,B3-60-32cab,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2566,2566
Morgan #2 (folder 2 of 2) - Page 41,y,well schedule,Lucas,40.1694951,-104.0995145,2-60-4,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2567,2567
Morgan #2 (folder 2 of 2) - Page 42,y,observation well data sheet,Lucas,40.1694951,-104.0995145,B2-60-4dd1,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2568,2568
Morgan #2 (folder 2 of 2) - Page 43,y,well schedule,Lucas,40.1872339,-104.1294909,3-60-32,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2569,2569
Morgan #2 (folder 2 of 2) - Page 44,y,observation well data sheet,Lucas,40.1872339,-104.1294909,B3-60-32cab,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2570,2570
Morgan #2 (folder 2 of 2) - Page 45,y,observation well data sheet,Lucas,40.0501539,-104.0729284,B1-60-23da,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2571,2571
Morgan #2 (folder 2 of 2) - Page 46,y,observation well data sheet,Lucas,40.0311634,-104.084816,B1-60-27dd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2572,2572
Morgan #2 (folder 2 of 2) - Page 47,y,observation well data sheet,Lucas,40.0170979,-104.0885925,B1-60-34cc1,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2573,2573
Morgan #2 (folder 2 of 2) - Page 48,y,observation well data sheet,Lucas,40.0607311,-103.5834789,B1-55-18bcc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2574,2574
Morgan #2 (folder 2 of 2) - Page 49,y,observation well data sheet,Lucas,40.0125621,-103.5811615,B1-55-31dac,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2575,2575
Morgan #2 (folder 2 of 2) - Page 50,y,observation well data sheet,Lucas,40.0825372,-103.5918474,B1-56-1dc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2576,2576
Morgan #2 (folder 2 of 2) - Page 51,y,observation well data sheet,Lucas,40.0870026,-104.0652466,B1-60-2dd1,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2577,2577
Morgan #2 (folder 2 of 2) - Page 52,y,observation well data sheet,Lucas,40.0720291,-104.0505695,B1-60-12cc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2578,2578
Morgan #2 (folder 2 of 2) - Page 53,y,observation well data sheet,Lucas,40.0439119,-104.0676498,B1-60-23bcc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2579,2579
Morgan #2 (folder 2 of 2) - Page 54,y,observation well data sheet,Lucas,40.0308348,-104.0752888,B1-60-26cc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2580,2580
Morgan #2 (folder 2 of 2) - Page 55,y,observation well data sheet,Lucas,40.1148394,-103.5812473,B2-55-30bc1,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2581,2581
Morgan #2 (folder 2 of 2) - Page 56,y,observation well data sheet,Lucas,40.1619522,-103.588028,B2-56-1dd3,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2582,2582
Morgan #2 (folder 2 of 2) - Page 57,y,observation well data sheet,Lucas,40.1194997,-103.5867405,B2-56-24ddz,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2583,2583
Morgan #2 (folder 2 of 2) - Page 58,y,observation well data sheet,Lucas,40.1438459,-103.5874271,B2-56-13ddz,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2584,2584
Morgan #2 (folder 2 of 2) - Page 59,y,observation well data sheet,Lucas,40.1195653,-103.5881996,B2-56-24dd2,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2585,2585
Morgan #2 (folder 2 of 2) - Page 60,y,observation well data sheet,Lucas,40.1702821,-103.7905455,B2-57-5cc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2586,2586
Morgan #2 (folder 2 of 2) - Page 61,y,observation well data sheet,Lucas,40.1697574,-103.8015747,B2-57-6dc1,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2587,2587
Morgan #2 (folder 2 of 2) - Page 62,y,observation well data sheet,Lucas,40.1694951,-104.0995145,B2-60-4ddd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2588,2588
Morgan #2 (folder 2 of 2) - Page 63,y,observation well data sheet,Lucas,40.1399091,-104.0438747,B2-60-13dd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2589,2589
Morgan #2 (folder 2 of 2) - Page 64,y,observation well data sheet,Lucas,40.1145769,-104.0646458,B2-60-26dd,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2590,2590
Morgan #2 (folder 2 of 2) - Page 65,y,observation well data sheet,Lucas,40.2157834,-103.6000013,B3-56-24bb,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2591,2591
Morgan #2 (folder 2 of 2) - Page 66,y,observation well data sheet,Lucas,40.2540114,-103.8014693,B3-57-6dc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2592,2592
Morgan #2 (folder 2 of 2) - Page 67,y,observation well data sheet,Lucas,40.19591,-103.8016,B3-57-30bb,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2593,2593
Morgan #2 (folder 2 of 2) - Page 68,y,observation well data sheet,Lucas,40.2101466,-104.0931416,B3-60-22cc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2594,2594
Morgan #2 (folder 2 of 2) - Page 69,y,observation well data sheet,Lucas,40.1872339,-104.1294909,B3-60-32cab,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2595,2595
Morgan #2 (folder 2 of 2) - Page 70,y,observation well data sheet,Lucas,40.1822177,-104.0449047,B3-60-36dc,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2596,2596
Morgan #2 (folder 2 of 2),y,observation well data sheet,Lucas,40.1534301,-104.0132668,B2-59-8cad,Morgan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2597,2597
Kiowa Creek observation wells (folder 1 of 3) - Page 1,y,well schedule,Lucas,39.7539869,-104.3102074,C3-62-27dcc,Adams,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2608,2608
Kiowa Creek observation wells (folder 1 of 3) - Page 2,y,well schedule,Lucas,39.761311,-104.3105078,C3-62-27acc,Adams,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2609,2609
Kiowa Creek observation wells (folder 1 of 3) - Page 3,y,well schedule,Lucas,40.0078617,-104.2813039,B1-62-36bc,Weld,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2610,2610
Kiowa Creek observation wells (folder 1 of 3) - Page 4,y,well schedule,Lucas,40.0044101,-104.2807674,B1-62-36cc,Weld,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/2611,2611
